title,company,location,salary,description,experience,employment_type,schedule,working_hours,work_format,published_date,link,skills
Финансовый аналитик,ТОО Ресурс Плюс KZ,Вакансия опубликована 17 мая 2025 в Алматы,"от 600 000 ₸ за месяц, на руки","Мы компания- партнер Яндекс такси, владеющая сетью таксопарков по всему Казахстану.
Мы являемся крупнейшими в своей отрасли в Казахстане и стабильно развиваемся на рынке более 8-ми лет.

В связи с расширением компании, мы ищем финансового аналитика. Не упустите шанс стать частью активно развивающейся команды!

Наши условия:

График работы 5/2 пн-пт с 09.00-18.00;

Оформление согласно ТК РК;

Уютный и светлый офис в деловом центре города;

Дружный молодой коллектив и выезды на тимбилдинги;

Размер ЗП зависит от навыков и обсуждается при собеседовании!

Обязанности:

1. Финансовый анализ и прогнозирование:
• Сбор, обработка и анализ финансовых данных компании для оценки текущего состояния и прогнозирования будущих показателей.
• Подготовка финансовых моделей для оценки рентабельности проектов и инициатив.
2. Бюджетирование и контроль:
• Разработка и контроль исполнения бюджетов подразделений и проектов.
• Анализ отклонений фактических показателей от плановых и предоставление рекомендаций по их корректировке.
3. Отчетность и презентации:
• Формирование регулярной управленческой отчетности для руководства компании.
• Подготовка аналитических материалов и презентаций по финансовым показателям и ключевым метрикам.
4. Оценка и управление рисками:
• Идентификация финансовых рисков и разработка мер по их минимизации.
• Оценка инвестиционных проектов и предоставление рекомендаций по их реализации.
5. Взаимодействие с подразделениями:
• Консультирование руководителей подразделений по финансовым вопросам.
• Участие в разработке и внедрении мероприятий по повышению финансовой эффективности компании.

Требования:

1. Образование и опыт:
• Высшее образование в области экономики, финансов или бухгалтерского учета.
• Опыт работы на позиции финансового аналитика не менее 3 лет.
2. Профессиональные навыки:
• Глубокие знания в области финансового анализа, бюджетирования и управленческого учета.
• Продвинутые навыки работы в MS Excel, включая финансовое моделирование.
• Опыт работы с ERP-системами и специализированными программами для финансового анализа.
3. Личные качества:
• Высокий уровень аналитического мышления и внимание к деталям.
• Способность работать с большими объемами информации и в условиях многозадачности.
• Ответственность, инициативность и умение работать в команде.
4. Дополнительные требования:
• Готовность к интенсивной работе в периоды высокой нагрузки и способность соблюдать установленные сроки.
• Желательно наличие профессиональных сертификатов (например, CIMA, CFA).

Обязательно оставляй отклик и мы тебе перезвоним!",1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,17 мая 2025,https://hh.kz/vacancy/120546718,"Финансовая отчетность,Работа с базами данных,Аналитические исследования,Аналитическое мышление,Финансовый анализ,MS Excel,Многозадачность,Кассовые операции,Аналитика,Работа с большим объемом информации"
Аккаунт-менеджер,ТОО Агентство Медиа-Систем,Вакансия опубликована 17 мая 2025 в Алматы,"от 300 000 ₸ за месяц, на руки","Агентство «Медиа-Систем» - лидер рынка информационного консалтинга в Евразийском пространстве, работаем с 1998 года.

Мы отслеживаем, исследуем и анализируем поведение, потребности и отношение стейкхолдеров казахстанских брендов, некоммерческих и государственных организаций. Компания представляет ценную аналитику на основе медиа-данных, кабинетных исследований и социологических опросов, необходимую для управления репутацией и принятия как долгосрочных стратегических, так и оперативных решений, касающихся корпоративных коммуникаций, маркетинга, развития бренда и усиления репутации работодателя.

Сейчас мы ищем эффективного командного игрока – Аккаунт-менеджера.

Обязанности:
Работа с клиентской базой холдинга: «утепления», рассылки, обзвоны, встречи.
Приём и обработка входящих запросов и заказов клиентов.
Консультирование клиентов по продуктам холдинга.
Ведение и развитие отношений с текущими ключевыми клиентами компании.
Поиск возможностей для upsell и cross-sell.
Подготовка и проведение презентаций, отчетов, ежемесячных встреч.
Сбор и анализ обратной связи, решение текущих проблем клиентов.
Документальное сопровождение сделок (отчеты, договоры, презентации).
Сопровождение клиентов от момента начала контакта до финальной стадии: отправка информации, назначение и подготовка встреч и презентаций/ демо продуктов, отправка предложений по запросам клиентов, отработка и завершение сделок, заключение договоров.
Координация работы/ взаимодействие с внутренней командой: постановка задач по подготовке демо продуктов, организация участия команды на встречах/ презентациях, обработка и расчет стоимости по запросу клиента, обслуживание и подготовка отчетов, прочее.
Выполнение поставленных планов работы с клиентами по всей линейке продуктов холдинга.
Ведение и представление отчетности и баз данных по клиентам и продажам.
Требования:
Высшее образование (маркетинг, управление, реклама, PR, экономика, социология и др.)

Опыт работы:

Опыт работы на аналогичной позиции от 3 лет (желательно в b2b, агентстве, или сфере сервиса)
Опыт ведения одновременно нескольких клиентов/ проектов

​​​​​​​​​​​​​​Профессиональные навыки:

Грамотная письменная и устная речь
Навыки деловой переписки и презентаций
Базовые знания маркетинга, рекламы, особенностей рынка
Умение работать с CRM-системой, Microsoft Office
Навыки подготовки и согласования договоров и документации

Личностные качества:

Клиентоориентированность и умение выстраивать доверительные отношения
Высокие коммуникативные способности
Проактивность и ответственность
Стрессоустойчивость и умение работать в режиме многозадачности
Организованность, пунктуальность, внимание к деталям
Ориентация на результат

Дополнительно:

Желание развиваться в сфере аккаунт-менеджмента и клиентского сервиса

​​​​​​​​​​​​​​​​​​​​​Условия:

Оформление по ТК
Полный рабочий день
Прозрачная система бонусов и премий
Перспективы карьерного роста

Ждем Вашего отклика!",3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,17 мая 2025,https://hh.kz/vacancy/120542792,"Деловая коммуникация,Подготовка презентаций,Организация деловых встреч,Проведение презентаций,Заключение договоров,Сопровождение клиентов,Подготовка коммерческих предложений,Ведение переговоров,Управление коммуникациями,Ориентация на результат,Работа с CRM"
Директор по развитию бизнеса в сфере проектирования и строительства,ТОО Well Master,Вакансия опубликована 17 мая 2025 в Актау,Не указано,"Уважаемые кандидаты!

Казахстанская строительная компания (город Актау) примет на работу Директора по развитию бизнеса в сфере проектирования и строительства;

Деятельность компании – проектирование и строительство промышленных объектов.

Обязанности:

​​Разработка и реализация стратегии развития – определение долгосрочных целей компании, анализ рынка и создание планов по расширению бизнеса;
Привлечение новых клиентов и партнеров – установление деловых связей, участие в переговорах и формирование устойчивых партнерских отношений;
Анализ и оптимизация бизнес-процессов – выявление точек роста, повышение эффективности работы компании и внедрение инновационных решений;
Управление финансами и инвестициями – оценка финансовой устойчивости проектов, привлечение инвестиций и контроль расходов;
Маркетинг и продвижение услуг – разработка стратегии позиционирования компании, работа с рекламой и улучшение имиджа бренда;
Контроль за выполнением проектов – обеспечение соблюдения сроков, стандартов качества и требований заказчиков;
Развитие команды – подбор специалистов, мотивация сотрудников и формирование эффективных рабочих процессов;
Внедрение новых технологий – отслеживание инноваций в проектировании и строительстве, адаптация цифровых решений.

Основные требования к кандидатам:

Образование: Высшее образование в области строительства или архитектуры.

Дополнительные курсы или сертификаты в сфере управления бизнесом, стратегического планирования, финансового анализа будут преимуществом.;

Опыт работы: Опыт работы в сфере проектирования и строительства не менее 5-7 лет.

Успешный опыт работы на руководящих позициях (например, коммерческий директор, директор по развитию).Опыт разработки и внедрения стратегий по развитию бизнеса.;

График работы: 5/2, выезды к заказчикам по Казахстану, при необходимости возможна работа в выходные дни (по согласованию), предусмотрены командировки в ближнее и дальнее зарубежье.

Требования к кандидату:

Аналитические способности, системное мышление, умение принимать решения и нести ответственность;
Навыки планирования, организации и контроля строительных процессов;
Опыт ведения переговоров и деловой переписки;
Знание нормативной документации в строительстве;
Опытный пользователь MS Office;
Лидерские качества и умение управлять командой;
Знание казахского, русского языков, знание английского/китайского языка желательно.",более 6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,17 мая 2025,https://hh.kz/vacancy/120657723,Не указано
Start-up co-founder | Software engineer,Pre-seed start-up,Вакансия опубликована 17 мая 2025 в Астане,Не указано,"Pre-seed startup seeking a technical co-founder to join as a true partner, with a clear path to becoming CTO as the company scales.

Preferred personality:

1. Hardworking, by than I mean at least 20-25 hours per week at pre-revenue/pre-seed round stage, increasing to a minimum of 65 hours per week once funding is secured. The expected time commitment may make it challenging to balance with family responsibilities, please be aware of it. That said, the potential exit returns are expected to justify the intensity.

2. Results-driven, and a strong problem solver. You move fast, think fast, and iterate even faster.

3. Relocation readiness within next 6 month: I plan to apply to Y Combinator’s Fall batch, which would require both of us to relocate to the U.S., if accepted. If not, I’d encourage my co-founder to relocate to New Zealand, I can assist with visa/travel, if required.

Your background: experience level matters less than your ability to thrive in uncertainty, learn quickly, and ability to work and solve problems independently. However, would be good to have a background in backend systems, data processing, and AI.

Commercial terms: Equity split is 50/50 with a 1-year cliff and 4-year vesting. The company will be incorporated in New Zealand, where non-residents, including Russian citizens, can legally be added as shareholders. IPs will be owned by incorporated legal entity. Overall, all best practice of YC will be implemented.

Finally, the problem I'm working on:

Automating financial due diligence to eliminate repetitive, manual tasks and reduce the need for excessive human input. While the idea may not sound glamorous at first, the market opportunity is huge—with the potential to scale into a hundred-million-dollar business.

This will be a SaaS platform designed for global scale, targeting clients in the US, Canada, Australia, New Zealand, Europe, and the UK.

As a technical co-founder, you’d lead development of:

A backend engine to ingest and process structured management accounts and financial data (e.g., from Xero, Excel, or QuickBooks)

Automated variance analysis, KPIs, and adjustment flagging based on accounting logic

Smart generation of management queries, due diligence agendas, and draft report structures

Integration of LLMs for contextual insight extraction, narrative generation, and partner feedback resolution

About myself & who you would work with:

1. Background in management consulting and corporate finance, with 9 years of experience across Deloitte, PwC, BDO and CVA, primarily focused on M&A and financial due diligence. I’ve seen how repetitive and inefficient this process can be, and that’s what sparked my startup idea.

2. Have a good network of potential clients and PE funds across New Zealand and Australia.

3. Personality-wise, I’m driven, action-oriented and hard-working.

Roles and responsibilities:

I’ll take ownership of fundraising, pitch decks, financials, sales, and overall product direction. From my technical co-founder, I expect strong execution and proactive input on improving design and engineering, contributing ideas that strengthen and refine the product vision. If you're interested in taking on more responsibility beyond the technical side (sales or accounting), I'm happy to share, but there's no expectation to do so.

Cover letter

Please include a brief cover letter so I can learn a bit about you. The format doesn’t matter, just something that helps me understand your background and what motivates you.

Pre-seed стартап ищет технического сооснователя, который присоединится как настоящий партнёр, с чёткой перспективой занять позицию CTO по мере роста компании.

Предпочтительные личные качества:

Трудолюбие — под этим я подразумеваю минимум 20–25 часов в неделю на этапе pre-seed/до получения дохода, с увеличением нагрузки до минимум 65 часов в неделю после привлечения финансирования. Такой график может быть труден для совмещения с семейными обязательствами, прошу учитывать это. Тем не менее, ожидаемый выход (exit) потенциально оправдает вложенные усилия.

Ориентированность на результат и решение проблем — ты быстро думаешь, быстро действуешь и быстро улучшаешь.

Готовность к переезду в течение следующих 6 месяцев: я планирую подать заявку в осеннюю волну Y Combinator. В случае успеха, это потребует переезда обоих в США. Если нет — я поощряю переезд сооснователя в Новую Зеландию и готов помочь с визой и переездом при необходимости.

Твой опыт:

Формальный опыт менее важен, чем способность работать в условиях неопределённости, быстро учиться и самостоятельно решать задачи. В идеале — опыт в backend-разработке, обработке данных и AI.

Финансовые условия:Распределение долей: 50/50. Вестинг: 4 года с кллиффом 1 год. Компания будет зарегистрирована в Новой Зеландии. Законодательство позволяет включать иностранных (в т.ч. российских) граждан в состав акционеров, даже без резидентства.Интеллектуальная собственность будет принадлежать юридическому лицу. Все лучшие практики Y Combinator будут применены.

О проблеме, которую мы решаем:

Мы автоматизируем финансовую due diligence, чтобы устранить рутинные, повторяющиеся задачи и сократить необходимость в избыточном человеческом участии. Хотя идея может показаться не самой «гламурной», рынок огромен — с потенциалом выйти на сотни миллионов долларов выручки.

Это будет глобальная SaaS-платформа, ориентированная на рынки США, Канады, Австралии, Новой Зеландии, Европы и Великобритании.

Какой продукт ты будешь строить: Backend-система для загрузки и обработки управленческой отчётности (Xero, Excel, QuickBooks и др.)ю Автоматический анализ отклонений, KPI и выявление корректировок по учётной логике. Умная генерация вопросов к менеджменту, due diligence-агенд и шаблонов отчётов. Интеграция LLM для анализа контекста, генерации текста и обработки обратной связи от партнёров",3–6 лет,Полная занятость,График: 5/2,Рабочие часы: по договорённости,Формат работы: удалённо или гибрид,17 мая 2025,https://hh.kz/vacancy/120653995,Не указано
Интегратор Битрикс24,ТОО CleverCRM,Вакансия опубликована 17 мая 2025 в Алматы,Не указано,"Город: Алматы / Астана / удалённая работа

Занятость: Полная занятость

Зарплата: от 300,000 до 500,000 KZT (обсуждается на собеседовании, зависит от опыта)

О компании:

Мы - динамично развивающаяся IT-компания, специализирующаяся на внедрении и настройке CRM-систем для бизнеса. Наша миссия - помогать компаниям оптимизировать процессы и достигать новых высот с помощью современных технологий. Присоединяйтесь к нашей команде профессионалов, чтобы вместе создавать эффективные решения для клиентов!

Обязанности:

- Настройка и внедрение Битрикс24 (CRM, бизнес-процессы, корпоративный портал) под задачи клиентов.

- Интеграция Битрикс24 со сторонними системами (1С, телефония, мессенджеры, сайты) через API.

- Анализ бизнес-процессов клиентов, разработка и внедрение оптимальных решений на базе Битрикс24.

- Обучение пользователей и подготовка документации по настройке системы.

- Техническая поддержка и доработка функционала порталов Битрикс24.

- Участие в командных проектах по автоматизации процессов.

Требования:

- Опыт работы с Битрикс24 (настройка CRM, порталов, бизнес-процессов) от 1 года.

- Знание принципов работы API и опыт интеграции систем.

- Базовые навыки программирования (PHP, JavaScript) и работы с базами данных (MySQL).

- Понимание бизнес-процессов и умение предлагать решения для их оптимизации.

- Коммуникабельность, умение работать в команде и эффективно взаимодействовать с клиентами.

- Желательно: опыт работы с другими CRM (AmoCRM, Salesforce и др.), сертификаты Битрикс24.

- Знание казахского и/или русского языков, английский будет преимуществом.

Условия:

- Гибкий график работы

- Удалённая работа

- Доступ к внутреннему и внешнему обучению, участие в сертификациях Битрикс24.

- Возможности карьерного роста до руководителя проектов или бизнес-аналитика.

Почему стоит работать у нас?

- Интересные проекты для крупных клиентов из разных индустрий.

- Возможность влиять на результат и предлагать свои идеи.",1–3 года,"Полная занятость
Возможно временное оформление",График: 5/2,Рабочие часы: 8,Формат работы: удалённо,17 мая 2025,https://hh.kz/vacancy/120249634,"Битрикс24,1С-Битрикс,Автоматизация бизнес-процессов,Описание бизнес-процессов,Оптимизация бизнес-процессов,Анализ бизнес-процессов,Регламентация бизнес-процессов,IP-телефония,PHP"
DevOps Engineer - CNP Processing GmbH (E-Commerce),CNP Processing GmbH,Вакансия опубликована 17 мая 2025 в Алматы,Не указано,"Присоединяйтесь к лидеру в сфере E-commerce в Казахстане — CNP Processing GmbH!

Мы, швейцарская компания, занимающаяся онлайн-платежами, уже более 15 лет остаемся ведущим игроком на рынке Казахстана, с оборотом 1,5 млрд долларов в прошлом году. Сейчас мы ищем опытного и технически подкованного DevOps инженера, готового стать частью нашей команды и развивать передовые решения в области онлайн-платежей.

Почему стоит работать с нами?

•⁠ ⁠Карьерный рост и развитие: реализуйте свой потенциал в сфере инновационных онлайн-платежей.
•⁠ ⁠Ответственные и интересные задачи: занимайтесь решением технически сложных проблем, поддерживая бесперебойную работу наших систем.
•⁠ ⁠Доступ к передовым технологиям: работайте с новейшими инструментами и технологиями, которые открывают возможности для профессионального роста.
•⁠ ⁠Поддерживающая корпоративная культура: мы ценим каждый вклад и стремимся к гармонии внутри коллектива, создавая атмосферу для вашего личного и профессионального развития.
•⁠ ⁠Конкурентоспособные условия труда: мы предлагаем стабильную заработную плату, социальные и пенсионные отчисления, а также возможность получить долю в акциях компании.


Ваши обязанности:
⁠ ⁠Разработка и поддержка инфраструктуры на базе AWS с использованием Terraform и Ansible.
Управление жизненным циклом контейнеров с помощью Kubernetes и Helm.
⁠Настройка и оптимизация CI/CD пайплайнов в GitLab CI/CD.
Работа с базами данных PostgreSQL и Redis, включая их оптимизацию и обеспечение высокой доступности.
⁠Проектирование и поддержка сетевой инфраструктуры (VPC, подсети, маршрутизация и NAT).
⁠Обеспечение безопасности инфраструктуры и приложений с соблюдением стандартов PCI DSS.
Мониторинг производительности с использованием Prometheus и Grafana.
⁠Диагностика и устранение технических проблем в инфраструктуре и приложениях.
Мы ищем кандидата с:
Опыт работы DevOps инженером от 3 лет.
Глубокие знания Linux и опыт администрирования серверов.
Уверенные навыки работы с Docker, Kubernetes, Helm, Ansible, GitLab CI/CD.
⁠Опыт работы с базами данных, такими как PostgreSQL, MongoDB, Redis.
⁠Знание TCP/IP стека и опыт работы с сетевыми устройствами.
⁠Понимание принципов безопасности, опыт работы с nginx, haproxy и другими инструментами.
Знания в области мониторинга, логирования и оповещения (Prometheus, Grafana, OpenSearch, Logstash).
Опыт работы с Terraform, Ansible и другими инструментами Infrastructure as Code.
⁠Уверенные навыки в Bash и Python.
Знание английского на техническом уровне.
⁠Преимуществом будет опыт с Terraform, Wazuh, Keycloak, Kafka, Cloudflare и облачными платформами (AWS, GCP, Azure).
Что мы предлагаем:
⁠Достойный оклад и долю в акциях компании.
Дружный и профессиональный коллектив, который всегда поддержит вас.
Пятидневную рабочую неделю, восьмичасовой рабочий день и четыре недели отпуска в году.

Если вы готовы к новым вызовам и хотите стать частью успешной и амбициозной компании, отправляйте нам своё резюме! Мы ждем вашего отклика!

Не упустите шанс развиваться в ведущей компании в сфере онлайн-платежей!",3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,17 мая 2025,https://hh.kz/vacancy/120524591,Не указано
Специалист по перформанс маркетингу / Perfomance marketing manager,ТОО Okori Central Asia (Окори Сентрал Эйжа),Вакансия опубликована 18 мая 2025 в Алматы,Не указано,"Okori (by partner of dentsu) - одна из крупнейших медиа коммуникационных групп в мире.

Okori Media group (partner of dentsu) - международное медийное агентство, представляет услуги коммуникаций и маркетинговых решений (медиапланирование, медиа размещение, баинг, digital размещение) – представительство в Киргизии, Монголии, Грузии, Азербайджане и Таджикистане.

Мы в поиске Performance Marketing Manager.

Обязанности:

Активное участие в разработке и внедрении перформанс стратегии для клиентов, формирование бенчмарков на основании исторических данных или экспертизе;
Запуск, настройка, ведение и оптимизация цифровых рекламных кампаний в Google Ads, Яндекс Директ, Facebook Ads, DV360, myTarget, VK Business, Apple Search Ads;
Настройка базовых целей в Google Tag Manager, мониторинг и анализ результатов с помощью аналитических инструментов Google Analytics, Яндекс Метрика, Adjust, Appsflyer;
Улучшать расширение аудитории и пожизненную ценность клиента (LTV) с целью снижения затрат на привлечение;
Оценка и контроль целевых метрик – CPC, CTR, VTR, CR, CPA, CPL, ROAS, ROMI, показатель качества, статистика аукционов;
Контроль своевременного запуска, уровня затрат, работоспособности и рентабельности рекламных кабинетов;
Формирование и тест гипотез для улучшения эффективности рекламных кампаний, а также ведение отчета с идеями, препятствиями и областями возможностей;
Peer-review и вычитка рекламных кампаний запущенных внутри отдела с целью достижения максимального качества объявлений;
Активное участие в разработке и развитии внутренних бизнес процессов;
Подготовка отчетности о проделанной работе, достигнутых показателях, формировании конкурентных отчетов;
Требования:
Уверенные знания кабинетов Google Ads, Yandex Директ, DV360; Fb Ads, Tik Tok Ads, my Target, Google Analytics;
Работа с торговыми кампаниями и продвижением приложений;
Построение гипотез на основе Post-click аналитики.
Условия:
100% белая заработная плата;
Профессиональная и сплоченная команда специалистов;
Новый и комфортабельный офис на Атакенте;
Гибридный график работы после испытательного срока (3 месяца);
Карьерный рост;
Обучающую платформу и тренинги, для личного и профессионального развития.",1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: гибрид,18 мая 2025,https://hh.kz/vacancy/120373799,"Яндекс.Метрика,Google Analytics,Facebook Ads,MyTarget,Facebook,Аналитика,CPA,Digital Marketing,Анализ конкурентной среды,Google AdWords,Яндекс.Директ,Таргетинг,Интернет-реклама,Yandex Direct,Анализ трафика,Английский — B1 — Средний"
Финансист,ТОО ТОРГОВЫЙ ДОМ ТЭМ-КАЗАХСТАН,Вакансия опубликована 18 мая 2025 в Астане,"от 300 до 350 000 ₸ за месяц, на руки","Мы являемся ведущим поставщиком стальных труб в Казахстане. Наши филиалы охватывают крупнейшие города страны. В связи с расширением фин.отдела, мы ищем ответственного и исполнительного Финансиста для обеспечения эффективного управления финансовыми операциями компании:

Обязанности:

Ведение платежных поручений и контроль платежей;
Подготовка финансовой отчетности для руководства;
Анализ и контроль исполнения бюджета;
Взаимодействие с банками и финансовыми учреждениями;
Контроль за валютными операциями и сопровождение сделок;

Требования:

Высшее образование: Финансы/Экономика;
Опыт работы в банковской сфере от 2 лет;
Знание систем финансового учета и отчетности;
Опыт работы с платежными поручениями;
Уверенное владение MS Office и 1С;
Аналитический склад ума, ответственность и внимательность к деталям.
Условия:
Официальное трудоустройство и своевременная оплата труда;
График работы: 5/2 с 08:00 до 17:00;
Современный комфортный офис с удобным расположением;
Перспективы карьерного роста;
Дружный коллектив, любящий свое дело.

Если вы готовы принять участие в управлении финансовыми процессами компании и обеспечении ее стабильного роста, отправляйте свое резюме. Будем рады обсудить возможности сотрудничества!",1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Не указано,18 мая 2025,https://hh.kz/vacancy/120367134,"Финансовая отчетность,Финансовый анализ,Платежные поручения,Бюджетирование"
Экономист,ТОО Құрылысшы LTD,Вакансия опубликована 17 мая 2025 в Астане,"от 400 000 ₸ за месяц, на руки","Ведущая строительная компания Астаны приглашает в команду опытного экономиста, готового развивать управленческую отчётность, анализировать эффективность и влиять на ключевые бизнес-решения.

Обязанности:

Внедрение и ведение системы управленческой отчетности
Расчет финансовых показателей, построение финансовых моделей
Экономический анализ деятельности компании на основе отчетов и данных 1С
Анализ эффективности подразделений, расчёт затрат и рентабельности
План-факт анализ, прогнозирование, формирование бюджетов
Автоматизация отчетности и расчетов
Анализ себестоимости, доходов и расходов по направлениям
Контроль исполнения бюджетов и выявление отклонений
Разработка предложений по повышению эффективности расходов
Мониторинг корректности учёта в 1С по статьям доходов и затрат

Требования:

Высшее экономическое образование
Опыт работы от 3 лет по направлениям: управленческий учёт, финансовый анализ, бюджетирование
Отличное знание Excel (формулы, сводные таблицы), 1С 8.3
Знание законодательства РК в сфере бухгалтерии, налогов, соц. и медстрахования
Умение составлять бюджет доходов и расходов, проводить контроль и корректировки
Опыт построения моделей и расчётов в Excel и PowerPoint
Приветствуется опыт в сфере ЖКХ/эксплуатации МЖК

Условия:

Официальное трудоустройство в стабильную компанию
График: 5/2, с 09:00 до 18:00
Современный офис, корпоративные мероприятия, программы лояльности
Обучение, развитие, участие в проектах и автоматизации",3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Не указано,17 мая 2025,https://hh.kz/vacancy/119885203,"Финансовый анализ,Анализ финансовых показателей,Анализ текущих финансовых показателей,План-фактный анализ бюджета,Расчет и анализ себестоимости продукции и услуг,Бухгалтерская отчетность,Корпоративные финансы,Экономическое моделирование,Прогнозирование,Расчет затрат,Контроль и анализ ценообразования,Консолидация финансовой отчетности"
IT-специалист / Системный Администратор / Системный аналитик,Государственное коммунальное предприятие Семей Водоканал,Вакансия опубликована 17 мая 2025 в Семее,Не указано,"Обязанности:

-Системная поддержка пользователей

-Ремонт настройка компьютеров и ПО

-Администрирование серверов и служебных программ

Требования:

​​​Образование: - средне-специальное, высшее

Опыт работы: - желателен

Навыки, умения, способности:

- Знание Excel, DBF на продвинутом уровне

- многозадачность

-способность быстро решать поставленные задачи

-умение анализировать проблемы и находить решения

Условия:

График работы:

- с Понедельника по Пятницу с 8-00 до 17-00, (Сб-Вс выходной)

- Кандидату необходимо будет пройти ознакомительный срок 3 дня (неоплачиваемый)

- Есть перспектива перехода на роль ведущего специалиста",1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,17 мая 2025,https://hh.kz/vacancy/120654016,"Администрирование ОС,Администрирование серверов Windows,MS Excel,Настройка ПО"
